atomic_number,element_anatomy_elements,fraction_of_mass,mass_kg,atomic_percent,periodic_group,symbol,atomic_mass_in_au_or_g_mo,CPK_color_in RRGGBB_hex_format,atomic_radius_in_pm,ion_radius_in_pm,van_der_Waals_radius_in_pm,density_in_g_mL
1.0,Hydrogen,0.1,7.0,62.0,1.0, H , 1.00794,FFFFFF,37.0,,120.0,8.99E-05
3.0,Lithium,3.1e-08,7e-06,1.5e-06,1.0, Li , 6.941,CC80FF,134.0,76 ,182.0,0.54
4.0,Beryllium,,3.6e-08,4.5e-08,2.0, Be , 9.012182,C2FF00,90.0,45 ,,1.85
5.0,Boron,6.9e-07,1.8e-05,3e-06,13.0, B , 10.811,FFB5B5,82.0,27 ,,2.46
6.0,Carbon,0.18,16.0,12.0,14.0, C , 12.0107,909090,77.0,16 ,170.0,2.26
7.0,Nitrogen,0.03,1.8,1.1,15.0, N , 14.0067,3050F8,75.0,146 ,155.0,0
8.0,Oxygen,0.65,43.0,24.0,16.0, O , 15.9994,FF0D0D,73.0,140 ,152.0,0
9.0,Fluorine,3.7e-05,0.0026,0.0012,17.0, F , 18.9984032,9.00E+51,71.0,133 ,147.0,0
11.0,Sodium,0.0015,0.1,0.037,1.0, Na , 22.98976928,AB5CF2,154.0,102 ,227.0,0.97
12.0,Magnesium,0.0005,0.019,0.007,2.0, Mg , 24.3050,8AFF00,130.0,72 ,173.0,1.74
13.0,Aluminium,8.7e-07,6e-05,1.5e-05,13.0, Al , 26.9815386,BFA6A6,118.0,53.5 ,,2.7
14.0,Silicon,2e-05,0.001,0.0058,14.0, Si , 28.0855,F0C8A0,111.0,40 ,210.0,2.33
15.0,Phosphorus,0.011,0.78,0.22,15.0, P , 30.973762,FF8000,106.0,44 ,180.0,1.82
16.0,Sulfur,0.0025,0.14,0.038,16.0, S , 32.065,FFFF30,102.0,184 ,180.0,1.96
17.0,Chlorine,0.0015,0.095,0.024,17.0, Cl , 35.453,1FF01F,99.0,181 ,175.0,0
19.0,Potassium,0.0025,0.14,0.033,1.0, K , 39.0983,8F40D4,196.0,138 ,275.0,0.86
20.0,Calcium,0.014,1.0,0.22,2.0, Ca , 40.078,3DFF00,174.0,100 ,,1.55
21.0,Scandium,,2e-07,,3.0, Sc , 44.955912,E6E6E6,144.0,74.5 ,,2.99
22.0,Titanium,1.3e-07,2e-05,,4.0, Ti , 47.867,BFC2C7,136.0,86 ,,4.51
23.0,Vanadium,2.6e-07,1.1e-07,1.2e-08,5.0, V , 50.9415,A6A6AB,125.0,79 ,,6.11
24.0,Chromium,2.4e-08,1.4e-05,8.9e-08,6.0, Cr , 51.9961,8A99C7,127.0,80 ,,7.14
25.0,Manganese,1.7e-07,1.2e-05,1.5e-06,7.0, Mn , 54.938045,9C7AC7,139.0,67 ,,7.47
26.0,Iron*,6e-05,0.0042,0.00067,8.0, Fe , 55.845,E06633,125.0,78 ,,7.87
27.0,Cobalt,2.1e-08,3e-06,3e-07,9.0, Co , 58.933195,F090A0,126.0,74.5 ,,8.9
28.0,Nickel,1.4e-07,1.5e-05,1.5e-06,10.0, Ni , 58.6934,50D050,121.0,69 ,163.0,8.91
29.0,Copper,1e-06,7.2e-05,1.04e-05,11.0, Cu , 63.546,C88033,138.0,77 ,140.0,8.92
30.0,Zinc,3.2e-05,0.0023,0.00031,12.0, Zn , 65.38,7D80B0,131.0,74 ,139.0,7.14
31.0,Gallium,,7e-07,,13.0, Ga , 69.723,C28F8F,126.0,62 ,187.0,5.9
32.0,Germanium,,5e-06,,14.0, Ge , 72.64,668F8F,122.0,73 ,,5.32
33.0,Arsenic,2.6e-07,7e-06,8.9e-08,15.0, As , 74.92160,BD80E3,119.0,58 ,185.0,5.73
34.0,Selenium,1.9e-07,1.5e-05,4.5e-08,16.0, Se , 78.96,FFA100,116.0,198 ,190.0,4.82
35.0,Bromine,2.9e-06,0.00026,3e-05,17.0, Br , 79.904,A62929,114.0,196 ,185.0,3.12
37.0,Rubidium,4.6e-06,0.00068,3.3e-05,1.0, Rb , 85.4678,702EB0,211.0,152 ,,1.53
38.0,Strontium,4.6e-06,0.00032,3.3e-05,2.0, Sr , 87.62,00FF00,192.0,118 ,,2.63
39.0,Yttrium,,6e-07,,3.0, Y , 88.90585,94FFFF,162.0,90 ,,4.47
40.0,Zirconium,6e-06,1e-06,3e-07,4.0, Zr , 91.224,94E0E0,148.0,72 ,,6.51
41.0,Niobium,1.6e-06,1.5e-06,,5.0, Nb , 92.90638,73C2C9,137.0,72 ,,8.57
42.0,Molybdenum,1.3e-07,5e-06,4.5e-08,6.0, Mo , 95.96,54B5B5,145.0,69 ,,10.28
47.0,Silver,1e-08,2e-06,,11.0, Ag , 107.8682,C0C0C0,153.0,115 ,172.0,10.49
48.0,Cadmium,7.2e-07,5e-05,4.5e-06,12.0, Cd , 112.411,FFD98F,148.0,95 ,158.0,8.65
49.0,Indium,,4e-07,,13.0, In , 114.818,A67573,144.0,80 ,193.0,7.31
50.0,Tin,2.4e-07,2e-05,6e-07,14.0, Sn , 118.710,668080,141.0,112 ,217.0,7.31
51.0,Antimony,1.1e-07,2e-06,,15.0, Sb , 121.760,9E63B5,138.0,76 ,,6.7
52.0,Tellurium,1.2e-07,7e-07,,16.0, Te , 127.60,D47A00,135.0,221 ,206.0,6.24
53.0,Iodine,1.6e-07,2e-05,7.5e-07,17.0, I , 126.90447,940094,133.0,220 ,198.0,4.94
55.0,Caesium,2.1e-08,6e-06,1e-07,1.0, Cs , 132.9054519,57178F,225.0,167 ,,1.88
56.0,Barium,3.1e-07,2.2e-05,1.2e-06,2.0, Ba , 137.327,00C900,198.0,135 ,,3.51
57.0,Lanthanum,1.37e-06,8e-07,,, La , 138.90547,70D4FF,169.0,103.2 ,,6.15
58.0,Cerium,5.7e-07,4e-05,,, Ce , 140.116,FFFFC7,,102 ,,6.69
62.0,Samarium,,5e-08,,, Sm , 150.36,8FFFC7,238,122 ,,7.35
73.0,Tantalum,,2e-07,,5.0, Ta , 180.94788,4DA6FF,138.0,72 ,,16.65
74.0,Tungsten,,2e-08,,6.0, W , 183.84,2194D6,146.0,66 ,,19.25
79.0,Gold,3e-09,2e-07,3e-07,11.0, Au , 196.966569,FFD123,144.0,137 ,166.0,19.3
80.0,Mercury,1.9e-07,6e-06,8.9e-08,12.0, Hg , 200.59,B8B8D0,149.0,119 ,155.0,13.53
81.0,Thallium,,5e-07,,13.0, Tl , 204.3833,A6544D,148.0,150 ,196.0,11.85
82.0,Lead,1.7e-06,0.00012,4.5e-06,14.0, Pb , 207.2,575961,147.0,119 ,202.0,11.34
83.0,Bismuth,,5e-07,,15.0, Bi , 208.98040,9E4FB5,146.0,103 ,,9.78
88.0,Radium,,3e-14,1e-17,2.0, Ra , 226,007D00,,148 ,,5
90.0,Thorium,,1e-07,,, Th , 232.03806,00BAFF,,94 ,,11.72
92.0,Uranium,,1e-07,3e-09,, U , 238.02891,008FFF,,102.5 ,186.0,19.05
